Unnamed: 0,Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
33,5322,3:36.53,Ivan HESHKO,19 AUG 1979,UKR,10f1,Stockholm (SWE),25 JUL 2006,1154,2006,men_1500m
34,5322,3:36.53,Asbel KIPROP,30 JUN 1989,KEN,2,Nairobi (KEN),05 JUL 2008,1154,2008,men_1500m
35,5322,3:36.53,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1154,2008,men_1500m
36,5322,3:36.53,Bader RASSIOUI,08 JUN 1985,MAR,7,Rabat (MAR),23 MAY 2009,1154,2009,men_1500m
37,5322,3:36.53,Nathan BRANNEN,08 SEP 1982,CAN,1f1,Heusden-Zolder (BEL),18 JUL 2009,1154,2009,men_1500m
38,5322,3:36.53,Augustine Kiprono CHOGE,21 JAN 1987,KEN,5,"Olympiastadion, Berlin (GER)",19 AUG 2009,1154,2009,men_1500m
39,5322,3:36.53,Collis BIRMINGHAM,27 DEC 1984,AUS,7,Milano (ITA),09 SEP 2010,1154,2010,men_1500m
40,5322,3:36.53,Zane ROBERTSON,14 NOV 1989,NZL,3f1,"Palo Alto, CA (USA)",29 APR 2012,1154,2012,men_1500m
41,5322,3:36.53,Hamish CARSON,01 NOV 1988,NZL,4,"Somerville, MA (USA)",17 JUN 2016,1154,2016,men_1500m
42,5322,3:36.53,Timothy CHERUIYOT,20 NOV 1995,KEN,1sf1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1154,2019,men_1500m
43,5322,3:36.53,Ronald KWEMOI,19 SEP 1995,KEN,2sf2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1154,2019,men_1500m
44,5322,3:36.53,Waleed SULIMAN,22 SEP 1998,USA,1f6,"Ole Miss T&F Complex, Oxford, MS (USA)",10 APR 2021,1154,2021,men_1500m
45,5322,3:36.53,Luis GRIJALVA,10 APR 1999,GUA,3,"McKenzie Community Track, Vida, OR (USA)",22 JUN 2021,1154,2021,men_1500m
46,5322,3:36.53,George BEAMISH,24 OCT 1996,NZL,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1154,2022,men_1500m
47,5348,3:36.54,Han KULKER,15 AUG 1959,NED,8,Hengelo (NED),27 JUN 1986,1153,1986,men_1500m
48,5348,3:36.54,Anthony MORRELL,03 MAY 1962,GBR,4,Stockholm (SWE),02 JUL 1990,1153,1990,men_1500m
49,5348,3:36.54,Samir BENFARES,06 JUN 1968,FRA,7,"Crystal Palace, London (GBR)",15 JUL 1994,1153,1994,men_1500m
50,5348,3:36.54,Rachid EL BASIR,04 OCT 1968,MAR,5f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 1995,1153,1995,men_1500m
51,5348,3:36.54,Ali HAKIMI,24 APR 1976,TUN,4,Villeneuve d'Ascq (FRA),25 MAY 1996,1153,1996,men_1500m
52,5348,3:36.54,David Kipkoech KISANG,1974,KEN,1,Caorle (ITA),28 JUN 1997,1153,1997,men_1500m
53,5348,3:36.54,Mingyou SONG,09 JAN 1975,CHN,1,Shanghai (CHN),18 OCT 1997,1153,1997,men_1500m
54,5348,3:36.54,Marko KOERS,03 NOV 1972,NED,4,Hechtel (BEL),05 AUG 2000,1153,2000,men_1500m
55,5348,3:36.54,Abdelkader HACHLAF,03 JUL 1979,MAR,8,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1153,2001,men_1500m
56,5348,3:36.54,Fouad CHOUKI,01 OCT 1978,FRA,9,"AC Gianni Brera, Milano (ITA)",03 JUN 2003,1153,2003,men_1500m
57,5348,3:36.54,Tarek BOUKENSA,19 NOV 1981,ALG,2,Algiers (ALG),23 JUN 2005,1153,2005,men_1500m
58,5348,3:36.54,Carsten SCHLANGEN,31 DEC 1980,GER,3,"Wattenscheid, Bochum (GER)",12 AUG 2007,1153,2007,men_1500m
59,5348,3:36.54,Samir KHADAR,10 JUN 1986,ALG,3,Villeneuve d'Ascq (FRA),27 JUN 2008,1153,2008,men_1500m
60,5348,3:36.54,Nicholas Kiptanui KEMBOI,18 DEC 1989,KEN,1,Casablanca (MAR),14 JUN 2009,1153,2009,men_1500m
61,5348,3:36.54,Yassine HETHAT,30 AUG 1991,ALG,2,Algiers (ALG),08 AUG 2015,1153,2015,men_1500m
62,5348,3:36.54,Bethwell BIRGEN,06 AUG 1988,KEN,5,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1153,2018,men_1500m
63,5348,3:36.54,Mohad ABDIKADAR SHEIK ALI,12 JUN 1993,ITA,10,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1153,2018,men_1500m
64,5348,3:36.54,Neil GOURLEY,07 FEB 1995,GBR,1,Lignano Sabbiadoro (ITA),11 JUL 2018,1153,2018,men_1500m
65,5348,3:36.54,Abdelaati IGUIDER,25 MAR 1987,MAR,1f1,Heusden-Zolder (BEL),20 JUL 2019,1153,2019,men_1500m
66,5348,3:36.54,Ronald MUSAGALA,16 DEC 1992,UGA,6h3,"Khalifa International Stadium, Doha (QAT)",03 OCT 2019,1153,2019,men_1500m
67,5348,3:36.54,Samuel PRAKEL,29 OCT 1994,USA,2f1,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1153,2020,men_1500m
68,5348,3:36.54,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,5,"Stadion Juliska, Praha (CZE)",07 JUN 2021,1153,2021,men_1500m
69,5348,3:36.54,Oliver HOARE,29 JAN 1997,AUS,2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1153,2022,men_1500m
70,5348,3:36.54,Andrew COSCORAN,18 JUN 1996,IRL,4,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1153,2022,men_1500m
71,5348,3:36.54,Jack ANSTEY,08 APR 1997,AUS,8f1,"Jack Kemp Stadium, Los Angeles, CA (USA)",15 JUL 2022,1153,2022,men_1500m
72,5348,3:36.54,Neil GOURLEY,07 FEB 1995,GBR,6h1,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1153,2022,men_1500m
73,5348,3:36.54,Tom ELMER,01 APR 1997,SUI,10,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1153,2023,men_1500m
74,5375,3:36.55,John WALKER,12 JAN 1952,NZL,6,Bruxelles (BEL),26 AUG 1983,1153,1983,men_1500m
75,5375,3:36.55,Andrés VERA,31 DEC 1960,ESP,3sf2,"Memorial Coliseum, Los Angeles, CA (USA)",10 AUG 1984,1153,1984,men_1500m
76,5375,3:36.55,Steve OVETT,09 OCT 1955,GBR,4sf2,"Memorial Coliseum, Los Angeles, CA (USA)",10 AUG 1984,1153,1984,men_1500m
77,5375,3:36.55,John GREGOREK,15 APR 1960,USA,5,Roma (ITA),22 JUL 1987,1153,1987,men_1500m
78,5375,3:36.55,Tim HACKER,27 DEC 1962,USA,3,Koblenz (GER),28 AUG 1988,1153,1988,men_1500m
79,5375,3:36.55,Terrance HERRINGTON,31 JUL 1966,USA,9,"Crystal Palace, London (GBR)",07 JUL 1995,1153,1995,men_1500m
80,5375,3:36.55,Werner EDLER-MUHR,04 FEB 1969,AUT,5,Nürnberg (GER),07 JUN 1996,1153,1996,men_1500m
81,5375,3:36.55,Dirk HEINZE,02 JUL 1976,GER,8,Nürnberg (GER),13 JUN 1999,1153,1999,men_1500m
82,5375,3:36.55,Benson KOECH,10 NOV 1974,KEN,2,Linz (AUT),26 JUL 1999,1153,1999,men_1500m
83,5375,3:36.55,Saïd CHÉBILI,06 MAY 1973,FRA,12,"Stade Louis II, Monaco (MON)",18 AUG 2000,1153,2000,men_1500m
84,5375,3:36.55,Bouabdellah TAHRI,20 DEC 1978,FRA,5,Sevilla (ESP),07 JUN 2003,1153,2003,men_1500m
85,5375,3:36.55,John MAYOCK,26 OCT 1970,GBR,1f2,Heusden-Zolder (BEL),31 JUL 2004,1153,2004,men_1500m
86,5375,3:36.55,Rob MYERS,05 AUG 1980,USA,9,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1153,2005,men_1500m
87,5375,3:36.55,Lee EMANUEL,24 JAN 1985,GBR,14f2,Oordegem (BEL),06 JUL 2013,1153,2013,men_1500m
88,5375,3:36.55,Asbel KIPROP,30 JUN 1989,KEN,1,Nairobi (KEN),26 APR 2014,1153,2014,men_1500m
89,5375,3:36.55,Bashir ABDI,10 FEB 1989,BEL,7f2,Oordegem (BEL),05 JUL 2014,1153,2014,men_1500m
90,5375,3:36.55,Adel MECHAAL,05 DEC 1990,ESP,2f1,Barcelona (ESP),08 JUL 2015,1153,2015,men_1500m
91,5375,3:36.55,David BUSTOS,25 AUG 1990,ESP,7,"Olympic Stadium, London (GBR)",09 JUL 2017,1153,2017,men_1500m
92,5375,3:36.55,Kyumbe MUNGUTI,28 FEB 1995,KEN,3,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",28 APR 2022,1153,2022,men_1500m
93,5375,3:36.55,Kazuto IIZAWA,02 FEB 2001,JPN,1,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2022,1153,2022,men_1500m
94,5375,3:36.55,Salim KEDDAR,23 NOV 1993,ALG,1f1,"Salle couverte Daniel Faucher, Toulouse (FRA)",18 MAY 2023,1153,2023,men_1500m
95,5375,3:36.55,Cameron PROCEVIAT,20 SEP 1993,CAN,4f1,"TSV Stadion, Pfungstadt (GER)",21 JUN 2023,1153,2023,men_1500m
96,5397,3:36.56,Ulf HÖGBERG,21 JAN 1946,SWE,1,Stockholm (SWE),30 JUL 1974,1153,1974,men_1500m
97,5397,3:36.56,Sydney MAREE,09 SEP 1956,USA,5,"Stadio Olimpico, Roma (ITA)",05 SEP 1981,1153,1981,men_1500m
98,5397,3:36.56,Gennaro DI NAPOLI,05 MAR 1968,ITA,8,"National Stadium, Tokyo (JPN)",01 SEP 1991,1153,1991,men_1500m
99,5397,3:36.56,Marcus O'SULLIVAN,22 DEC 1961,IRL,3,Villeneuve d'Ascq (FRA),02 JUL 1993,1153,1993,men_1500m
0,5397,3:36.56,William TANUI,22 FEB 1964,KEN,8,Nice (FRA),18 JUL 1994,1153,1994,men_1500m
1,5397,3:36.56,Rachid EL BASIR,04 OCT 1968,MAR,10,Stockholm (SWE),07 JUL 1997,1153,1997,men_1500m
2,5397,3:36.56,David LELEI,10 MAY 1971,KEN,11,Rieti (ITA),03 SEP 1997,1153,1997,men_1500m
3,5397,3:36.56,Manuel PANCORBO,07 JUL 1966,ESP,3,Barcelona (ESP),25 JUL 1998,1153,1998,men_1500m
4,5397,3:36.56,Sammy MUTAI,20 DEC 1974,KEN,11,Stockholm (SWE),17 JUL 2001,1153,2001,men_1500m
5,5397,3:36.56,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,1,"Mangueirão, Belém (BRA)",05 MAY 2002,1153,2002,men_1500m
6,5397,3:36.56,Joeri JANSEN,28 MAY 1979,BEL,8,Paris (FRA),01 JUL 2005,1153,2005,men_1500m
7,5397,3:36.56,Mehdi BAALA,17 AUG 1978,FRA,1h1,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1153,2005,men_1500m
8,5397,3:36.56,Juan VAN DEVENTER,26 MAR 1983,RSA,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1153,2008,men_1500m
9,5397,3:36.56,Cornelius NDIWA,17 DEC 1988,KEN,1f1,Sollentuna (SWE),01 JUL 2010,1153,2010,men_1500m
10,5397,3:36.56,Abdelaati IGUIDER,25 MAR 1987,MAR,5,"DS, Daegu (KOR)",03 SEP 2011,1153,2011,men_1500m
11,5397,3:36.56,Peter VAN DER WESTHUIZEN,21 DEC 1984,RSA,2,"National Stadium, Kingston (JAM)",05 MAY 2012,1153,2012,men_1500m
12,5397,3:36.56,Amine LAALOU,13 MAY 1982,MAR,,"Hayward Field, Eugene, OR (USA)",02 JUN 2012,1153,2012,men_1500m
13,5397,3:36.56,Mekonnen GEBREMEDHIN,11 OCT 1988,ETH,2h1,"Olympic Stadium, London (GBR)",03 AUG 2012,1153,2012,men_1500m
14,5397,3:36.56,Mohamed MOUSTAOUI,02 APR 1985,MAR,8,Rabat (MAR),09 JUN 2013,1153,2013,men_1500m
15,5397,3:36.56,Mahiedine MEKHISSI,15 MAR 1985,FRA,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1153,2014,men_1500m
16,5397,3:36.56,Colby ALEXANDER,13 JUN 1991,USA,3f1,"Portland, OR (USA)",02 JUL 2015,1153,2015,men_1500m
17,5397,3:36.56,Jonathan Kiplimo SAWE,26 NOV 1995,KEN,1f2,Padova (ITA),16 JUL 2017,1153,2017,men_1500m
18,5397,3:36.56,Ryan GREGSON,26 APR 1990,AUS,7,"Olympiastadion, Berlin (GER)",01 SEP 2019,1153,2019,men_1500m
19,5397,3:36.56,Baptiste MISCHLER,23 NOV 1997,FRA,7,"Stade des Grands Pêchers, Montreuil (FRA)",01 JUN 2021,1153,2021,men_1500m
20,5397,3:36.56,Filip SASÍNEK,08 JAN 1996,CZE,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1153,2022,men_1500m
21,5422,3:36.57,Eamonn COGHLAN,21 NOV 1952,IRL,2,"Stadion Evžena Rošického, Praha (TCH)",03 SEP 1978,1153,1978,men_1500m
22,5422,3:36.57,José Luis GONZÁLEZ,08 DEC 1957,ESP,1,Winterthur (SUI),14 JUN 1980,1153,1980,men_1500m
23,5422,3:36.57,Rachid EL BASIR,04 OCT 1968,MAR,1,Oslo (NOR),06 JUL 1991,1153,1991,men_1500m
24,5422,3:36.57,Adil KAOUCH,01 JAN 1979,MAR,16,"Stade Louis II, Monaco (MON)",08 AUG 1998,1153,1998,men_1500m
25,5422,3:36.57,Giuseppe D'URSO,15 SEP 1969,ITA,2,Milano (ITA),09 JUN 1999,1153,1999,men_1500m
26,5422,3:36.57,Noah NGENY,02 NOV 1978,KEN,3,"Stadion Juliska, Praha (CZE)",29 JUN 2003,1153,2003,men_1500m
27,5422,3:36.57,Adrian BLINCOE,04 NOV 1979,NZL,11,Heusden-Zolder (BEL),02 AUG 2003,1153,2003,men_1500m
28,5422,3:36.57,Mohamed MOUSTAOUI,02 APR 1985,MAR,6,"Olympiastadion, Berlin (GER)",19 AUG 2009,1153,2009,men_1500m
29,5422,3:36.57,Abdelaati IGUIDER,25 MAR 1987,MAR,2,Tanger (MAR),18 SEP 2011,1153,2011,men_1500m
30,5422,3:36.57,Hillary Kipkorir MAIYO,02 OCT 1993,KEN,9,Nairobi (KEN),01 AUG 2015,1153,2015,men_1500m
31,5422,3:36.57,Chris O'HARE,23 NOV 1990,GBR,2f2,"Azusa, CA (USA)",09 JUL 2019,1153,2019,men_1500m
32,5422,3:36.57,Abel KIPSANG,22 NOV 1996,KEN,1,"Cote d'Or National Sports Complex, St Pierre (MRI)",12 JUN 2022,1153,2022,men_1500m
33,5434,3:36.58,Mogens GULDBERG,02 AUG 1963,DEN,4,Bruxelles (BEL),19 AUG 1988,1153,1988,men_1500m
34,5434,3:36.58,Manuel PANCORBO,07 JUL 1966,ESP,2,Granada (ESP),17 JUN 1989,1153,1989,men_1500m
35,5434,3:36.58,Shane HEALY,05 OCT 1968,IRL,6,Madrid (ESP),12 JUN 1996,1153,1996,men_1500m
36,5434,3:36.58,Samir BENFARES,06 JUN 1968,FRA,14,Paris (FRA),28 JUN 1996,1153,1996,men_1500m
37,5434,3:36.58,Ali HAKIMI,24 APR 1976,TUN,1h3,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1153,1996,men_1500m
38,5434,3:36.58,Paul MCMULLEN,19 FEB 1972,USA,6f2,Zürich (SUI),14 AUG 1996,1153,1996,men_1500m
39,5434,3:36.58,Salah HISSOU,16 JAN 1972,MAR,5,Nürnberg (GER),13 JUN 1997,1153,1997,men_1500m
40,5434,3:36.58,Roberto PARRA,06 APR 1976,ESP,4,"Stadion Juliska, Praha (CZE)",29 JUN 2003,1153,2003,men_1500m
41,5434,3:36.58,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,7,Zagreb (CRO),07 JUL 2003,1153,2003,men_1500m
42,5434,3:36.58,Benson Marrianyi ESHO,02 FEB 1987,KEN,3f2,Stockholm (SWE),27 JUL 2004,1153,2004,men_1500m
43,5434,3:36.58,David KRUMMENACKER,24 MAY 1975,USA,10,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1153,2005,men_1500m
44,5434,3:36.58,Juan VAN DEVENTER,26 MAR 1983,RSA,2,Stellenbosch (RSA),14 MAR 2009,1153,2009,men_1500m
45,5434,3:36.58,Abdelaati IGUIDER,25 MAR 1987,MAR,8,Rabat (MAR),23 MAY 2009,1153,2009,men_1500m
46,5434,3:36.58,Chris O'HARE,23 NOV 1990,GBR,3,"Mestský Stadion, Ostrava (CZE)",20 MAY 2016,1153,2016,men_1500m
47,5434,3:36.58,Johan ROGESTEDT,27 JAN 1993,SWE,2f1,Sollentuna (SWE),28 JUN 2016,1153,2016,men_1500m
48,5434,3:36.58,Younéss ESSALHI,20 FEB 1993,MAR,2,Rehlingen (GER),20 MAY 2018,1153,2018,men_1500m
49,5434,3:36.58,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,3sf2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1153,2019,men_1500m
50,5434,3:36.58,Josh KERR,08 OCT 1997,GBR,4sf2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1153,2019,men_1500m
51,5434,3:36.58,Oliver HOARE,29 JAN 1997,AUS,2,"International Stadium, Gateshead (GBR)",23 MAY 2021,1153,2021,men_1500m
52,5434,3:36.58,Athanas KIOKO,1995,KEN,1f1,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",21 APR 2023,1153,2023,men_1500m
53,5434,3:36.58,Elhassane MOUJAHID,19 FEB 2000,MAR,10f1,"Estadio Iberoamericano, Huelva (ESP)",06 JUN 2023,1153,2023,men_1500m
54,5455,3:36.59,Jürgen STRAUB,03 NOV 1953,GDR,1,Dresden (GER),24 MAY 1980,1153,1980,men_1500m
55,5455,3:36.59,Alexandre GONZALEZ,16 MAR 1951,FRA,2,Paris (FRA),17 JUL 1980,1153,1980,men_1500m
56,5455,3:36.59,Klaus-Peter NABEIN,10 MAY 1960,FRG,13f1,Koblenz (GER),13 AUG 1987,1153,1987,men_1500m
57,5455,3:36.59,Bill BURKE,15 OCT 1969,USA,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1153,1993,men_1500m
58,5455,3:36.59,Vyacheslav SHABUNIN,27 SEP 1969,RUS,1,Moskva (RUS),06 AUG 1993,1153,1993,men_1500m
59,5455,3:36.59,Martin KEINO,20 JUN 1972,KEN,7,Rieti (ITA),05 SEP 1999,1153,1999,men_1500m
60,5455,3:36.59,Adil KAOUCH,01 JAN 1979,MAR,1,Thessaloniki (GRE),19 JUL 2004,1153,2004,men_1500m
61,5455,3:36.59,Asbel KIPROP,30 JUN 1989,KEN,3h1,"Olympic Stadium, London (GBR)",03 AUG 2012,1153,2012,men_1500m
62,5455,3:36.59,Nathan BRANNEN,08 SEP 1982,CAN,7sf2,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1153,2013,men_1500m
63,5455,3:36.59,Johan CRONJE,13 APR 1982,RSA,8sf2,"National Stadium, Beijing (CHN)",28 AUG 2015,1153,2015,men_1500m
64,5455,3:36.59,Boaz KIPRUGUT,18 MAY 1998,KEN,3f1,Nijmegen (NED),02 JUN 2017,1153,2017,men_1500m
65,5455,3:36.59,Abdelaati IGUIDER,25 MAR 1987,MAR,6,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1153,2018,men_1500m
66,5455,3:36.59,Ronald MUSAGALA,16 DEC 1992,UGA,1f1,Heusden-Zolder (BEL),21 JUL 2018,1153,2018,men_1500m
67,5455,3:36.59,James WEST,30 JAN 1996,GBR,10,"Olympic Stadium, London (GBR)",22 JUL 2018,1153,2018,men_1500m
68,5455,3:36.59,Mohamed KATIR,17 FEB 1998,ESP,4f1,Castellón (ESP),24 AUG 2020,1153,2020,men_1500m
69,5455,3:36.59,Marius PROBST,20 AUG 1995,GER,1f2,"SV 03 Stadion, Tübingen (GER)",19 JUN 2021,1153,2021,men_1500m
70,5455,3:36.59,Adam Ali MUSAB,17 APR 1995,QAT,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1153,2021,men_1500m
71,5455,3:36.59,Ryuji MIURA,21 FEB 2002,JPN,1f4,"Egao Kenko Stadium, Kumamoto (JPN)",09 APR 2022,1153,2022,men_1500m
72,5455,3:36.59,Fouad MESSAOUDI,07 JAN 2001,MAR,1,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1153,2023,men_1500m
73,5474,3:36.6h,Benjamin JIPCHO,01 MAR 1943,KEN,3,Helsinki (FIN),27 JUN 1973,1153,1973,men_1500m
74,5474,3:36.60,Abderrahmane MORCELI,1957,ALG,1,St-Maur (FRA),07 SEP 1977,1153,1977,men_1500m
75,5474,3:36.6h,David MOORCROFT,10 APR 1953,GBR,1,Fana (NOR),13 SEP 1978,1153,1978,men_1500m
76,5474,3:36.6h,Steve SCOTT,05 MAY 1956,USA,1,Rieti (ITA),31 AUG 1980,1153,1980,men_1500m
77,5474,3:36.6h,José Manuel ABASCAL,17 MAR 1958,ESP,1,Barcelona (ESP),31 MAY 1981,1153,1981,men_1500m
78,5474,3:36.60,Steve OVETT,09 OCT 1955,GBR,2,Melbourne (AUS),31 MAR 1984,1153,1984,men_1500m
79,5474,3:36.60,Bruno LEVANT,24 JAN 1960,FRA,6,Paris (FRA),22 JUL 1986,1153,1986,men_1500m
80,5474,3:36.6h,William TANUI,22 FEB 1964,KEN,1,Nairobi (KEN),23 DEC 1989,1153,1989,men_1500m
81,5474,3:36.60,Joe FALCON,23 JUN 1966,USA,1,Villeneuve d'Ascq (FRA),28 JUN 1990,1153,1990,men_1500m
82,5474,3:36.60,Andrew LLOYD,14 FEB 1959,AUS,7,Barcelona (ESP),16 JUL 1990,1153,1990,men_1500m
83,5474,3:36.60,Steve AGAR,06 JUN 1968,DMA,2,Abbotsford (CAN),02 JUN 1996,1153,1996,men_1500m
84,5474,3:36.60,Steve HOLMAN,02 MAR 1970,USA,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 1998,1153,1998,men_1500m
85,5474,3:36.60,John Kemboi KIBOWEN,21 APR 1969,KEN,13,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1153,2000,men_1500m
86,5474,3:36.60,Abdelkader CHÉKHÉMANI,18 JUL 1971,FRA,13,"Stade Louis II, Monaco (MON)",18 AUG 2000,1153,2000,men_1500m
87,5474,3:36.60,Vyacheslav SHABUNIN,27 SEP 1969,RUS,10,Paris (FRA),05 JUL 2002,1153,2002,men_1500m
88,5474,3:36.60,Laban ROTICH,20 JAN 1969,KEN,2,Poznan (POL),29 JUN 2003,1153,2003,men_1500m
89,5474,3:36.60,Gareth TURNBULL,14 MAY 1979,IRL,1,Cuxhaven (GER),19 JUL 2003,1153,2003,men_1500m
90,5474,3:36.60,Manuel DAMIAO,19 JUL 1978,POR,12,Sevilla (ESP),04 JUN 2005,1153,2005,men_1500m
91,5474,3:36.60,Ivan HESHKO,19 AUG 1979,UKR,5sf2,"Olympiastadion, Helsinki (FIN)",08 AUG 2005,1153,2005,men_1500m
92,5474,3:36.60,Samir KHADAR,10 JUN 1986,ALG,4f2,Stockholm (SWE),25 JUL 2006,1153,2006,men_1500m
93,5474,3:36.60,Jeffrey RISELEY,11 NOV 1986,AUS,,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1153,2011,men_1500m
94,5474,3:36.60,Mohamed BENSGHIR,16 NOV 1991,MAR,5,Cottbus (GER),25 JUN 2011,1153,2011,men_1500m
95,5474,3:36.60,Linus KIPLAGAT,23 DEC 1994,KEN,1f1,Heusden-Zolder (BEL),07 JUL 2012,1153,2012,men_1500m
96,5474,3:36.60,Ronald KWEMOI,19 SEP 1995,KEN,5,"Letzigrund, Zürich (SUI)",03 SEP 2015,1153,2015,men_1500m
97,5474,3:36.60,Kalle BERGLUND,11 MAR 1996,SWE,8,"Olympic Stadium, London (GBR)",09 JUL 2017,1153,2017,men_1500m
98,5474,3:36.6h,Justus SOGET,22 OCT 1999,KEN,1,Machakos (KEN),16 DEC 2017,1153,2017,men_1500m
99,5474,3:36.60,Kalle BERGLUND,11 MAR 1996,SWE,2f1,Ninove (BEL),28 JUL 2018,1153,2018,men_1500m
0,5474,3:36.60,Fouad EL KAAM,27 MAY 1988,MAR,3f1,Ninove (BEL),28 JUL 2018,1153,2018,men_1500m
1,5474,3:36.60,Eliud KIPSANG,09 SEP 1996,KEN,1h1,"Cushing Stadium, College Station, TX (USA)",14 MAY 2021,1153,2021,men_1500m
2,5474,3:36.60,Adel MECHAAL,05 DEC 1990,ESP,4,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",26 JUN 2022,1153,2022,men_1500m
3,5474,3:36.60,Matthew STONIER,24 SEP 2001,GBR,2,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1153,2022,men_1500m
4,5505,3:36.61,Saïd AOUITA,02 NOV 1959,MAR,1,Villeneuve d'Ascq (FRA),27 JUN 1988,1152,1988,men_1500m
5,5505,3:36.61,Abdi BILE,28 DEC 1962,SOM,1,Sevilla (ESP),20 JUN 1989,1152,1989,men_1500m
6,5505,3:36.61,Mustapha LACHAAL,10 FEB 1964,MAR,4,Hengelo (NED),13 AUG 1989,1152,1989,men_1500m
7,5505,3:36.61,William KEMEI,22 FEB 1969,KEN,13,Köln (GER),18 AUG 1995,1152,1995,men_1500m
8,5505,3:36.61,Massimo PEGORETTI,16 JUL 1974,ITA,6,Nürnberg (GER),13 JUN 1997,1152,1997,men_1500m
9,5505,3:36.61,Julius ACHON,12 DEC 1976,UGA,5,Casablanca (MAR),13 JUL 1999,1152,1999,men_1500m
10,5505,3:36.61,Jon Byron RANKIN,09 FEB 1982,USA,5,"Carson, CA (USA)",18 MAY 2008,1152,2008,men_1500m
11,5505,3:36.61,Mohamed MOUSTAOUI,02 APR 1985,MAR,6,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1152,2008,men_1500m
12,5505,3:36.61,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1152,2011,men_1500m
13,5505,3:36.61,Ismael Kipngetich KOMBICH,16 JAN 1985,KEN,1f1,Sollentuna (SWE),28 JUN 2011,1152,2011,men_1500m
14,5505,3:36.61,Imad TOUIL,11 FEB 1989,ALG,2f1,Rabat (MAR),12 MAY 2012,1152,2012,men_1500m
15,5505,3:36.61,Vincent LETTING,16 JUN 1993,KEN,5,Nairobi (KEN),15 JUN 2012,1152,2012,men_1500m
16,5505,3:36.61,Collins CHEBOI,25 SEP 1987,KEN,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1152,2013,men_1500m
17,5505,3:36.61,Matt ELLIOTT,08 SEP 1985,USA,2f1,Ninove (BEL),27 JUL 2013,1152,2013,men_1500m
18,5505,3:36.61,John GREGOREK,07 DEC 1991,USA,1f1,"Swarthmore, PA (USA)",17 MAY 2017,1152,2017,men_1500m
19,5505,3:36.61,Hicham OULADHA,31 JAN 1995,MAR,3f1,Bruay-la-Buissiere (FRA),04 JUL 2017,1152,2017,men_1500m
20,5505,3:36.61,Sean MCGORTY,08 MAR 1995,USA,1f1,Kortrijk (BEL),14 JUL 2018,1152,2018,men_1500m
21,5505,3:36.61,Ronald KWEMOI,19 SEP 1995,KEN,2,"Nyayo National Stadium, Nairobi (KEN)",13 SEP 2019,1152,2019,men_1500m
