Unnamed: 0,Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
36,8561,23.06,0.0,Karin MAYR-KRIFKA,04 JUN 1971,AUT,4,Linz (AUT),02 AUG 2004,1128,2004,women_200m
37,8561,23.06,1.6,Charlette GREGGS,20 OCT 1983,USA,1,"Tallahassee, FL (USA)",23 APR 2005,1128,2005,women_200m
38,8561,23.06,-0.3,Cydonie MOTHERSILL,19 MAR 1978,CAY,1,Rio de Janeiro (BRA),15 MAY 2005,1129,2005,women_200m
39,8561,23.06,-0.2,Monique HENDERSON,18 FEB 1983,USA,1,"Westwood, CA (USA)",15 MAY 2005,1129,2005,women_200m
40,8561,23.06,0.2,Cleo TYSON,01 MAY 1986,USA,5sf2,"Sacramento, CA (USA)",09 JUN 2005,1128,2005,women_200m
41,8561,23.06,0.7,Yuliya CHERMOSHANSKAYA,06 JAN 1986,RUS,1,Tula (RUS),04 JUL 2005,1128,2005,women_200m
42,8561,23.06,0.3,Natallia SALAHUB,31 MAR 1975,BLR,1,Bielsko-Biala (POL),09 JUL 2005,1128,2005,women_200m
43,8561,23.06,-1.5,Yelena YAKOVLEVA,18 MAR 1983,RUS,1h1,"Steigerwaldstadion, Erfurt (GER)",15 JUL 2005,1137,2005,women_200m
44,8561,23.06,2.0,Alexandria ANDERSON,28 JAN 1987,USA,2,Windsor (CAN),31 JUL 2005,1128,2005,women_200m
45,8561,23.06,-0.4,Cleo TYSON,01 MAY 1986,USA,3,"Knoxville, TN (USA)",27 MAY 2006,1130,2006,women_200m
46,8561,23.06,1.0,Natalya RUSAKOVA,12 DEC 1979,RUS,1h8,Tula (RUS),13 JUN 2006,1128,2006,women_200m
47,8561,23.06,-0.7,Bianca KNIGHT,02 JAN 1989,USA,1,"Greensboro, NC (USA)",17 JUN 2006,1132,2006,women_200m
48,8561,23.06,0.9,Tezdzhan NAIMOVA,01 MAY 1987,BUL,1,Thessaloniki (GRE),18 JUN 2006,1128,2006,women_200m
49,8561,23.06,0.6,Abiodun OYEPITAN,30 DEC 1979,GBR,7,"Estadio Ciudad de Málaga, Málaga (ESP)",29 JUN 2006,1128,2006,women_200m
50,8561,23.06,-0.3,Olena CHEBANU,04 JAN 1981,UKR,1,Kyiv (UKR),22 JUL 2006,1129,2006,women_200m
51,8561,23.06,0.0,Carol RODRÍGUEZ,16 DEC 1985,PUR,1,"Las Vegas, NV (USA)",17 MAR 2007,1128,2007,women_200m
52,8561,23.06,-0.6,Sherry FLETCHER,17 JAN 1986,GRN,1,"Baton Rouge, LA (USA)",21 APR 2007,1131,2007,women_200m
53,8561,23.06,0.1,Tonette DYER,28 MAR 1982,USA,2,"Los Angeles, CA (USA)",12 MAY 2007,1128,2007,women_200m
54,8561,23.06,-2.7,Yuliya GUSHCHINA,04 MAR 1983,RUS,1h8,Moskva (RUS),02 JUN 2007,1144,2007,women_200m
55,8561,23.06,0.1,Lauryn WILLIAMS,11 SEP 1983,USA,2,Luzern (SUI),28 JUN 2007,1128,2007,women_200m
56,8561,23.06,,Lyudmila ZUYENKO,06 SEP 1983,RUS,1,St. Petersburg (RUS),03 JUL 2007,1128,2007,women_200m
57,8561,23.06,1.1,Roxana DÍAZ,17 MAY 1981,CUB,4h1,"Yanmar Stadium Nagai, Osaka (JPN)",29 AUG 2007,1128,2007,women_200m
58,8561,23.06,0.8,Virgil HODGE,17 NOV 1983,SKN,7sf1,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1128,2007,women_200m
59,8561,23.06,0.0,Carol RODRÍGUEZ,16 DEC 1985,PUR,1h1,"Tempe, AZ (USA)",16 MAY 2008,1128,2008,women_200m
60,8561,23.06,0.7,Vanda FERREIRA GOMES,07 NOV 1988,BRA,1,Cochabamba (BOL),31 MAY 2008,1128,2008,women_200m
61,8561,23.06,-0.5,Cydonie MOTHERSILL,19 MAR 1978,CAY,4,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1131,2008,women_200m
62,8561,23.06,0.5,Roxana DÍAZ,17 MAY 1981,CUB,3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",01 JUL 2008,1128,2008,women_200m
63,8561,23.06,0.7,Debbie FERGUSON-MCKENZIE,16 JAN 1976,BAH,1h1,Cali (COL),05 JUL 2008,1128,2008,women_200m
64,8561,23.06,0.7,Debbie FERGUSON-MCKENZIE,16 JAN 1976,BAH,1h1,Cali (COL),05 JUL 2008,1128,2008,women_200m
65,8561,23.06,-0.1,Kadiatou CAMARA,04 MAY 1981,MLI,2h5,"National Stadium, Beijing (CHN)",19 AUG 2008,1128,2008,women_200m
66,8561,23.06,0.3,Kadiatou CAMARA,04 MAY 1981,MLI,4qf3,"National Stadium, Beijing (CHN)",19 AUG 2008,1128,2008,women_200m
67,8561,23.06,,Kelly-Ann BAPTISTE,14 OCT 1986,TTO,1,"Hattiesburg, MS (USA)",25 APR 2009,1128,2009,women_200m
68,8561,23.06,0.5,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,1h3,"Gainesville, FL (USA)",15 MAY 2009,1128,2009,women_200m
69,8561,23.06,-0.6,Cydonie MOTHERSILL,19 MAR 1978,CAY,4f1,"Stadion Juliska, Praha (CZE)",08 JUN 2009,1131,2009,women_200m
70,8561,23.06,,Natasha HASTINGS,23 JUL 1986,USA,1,"San Diego, CA (USA)",14 JUN 2009,1128,2009,women_200m
71,8561,23.06,-0.3,Natalya RUSAKOVA,12 DEC 1979,RUS,1sf3,Cheboksary (RUS),25 JUL 2009,1129,2009,women_200m
72,8561,23.06,0.3,Yelena BOLSUN,25 JUN 1982,RUS,4h4,"Olympiastadion, Berlin (GER)",19 AUG 2009,1128,2009,women_200m
73,8561,23.06,1.6,Charonda WILLIAMS,27 MAR 1987,USA,1f1,"Palo Alto, CA (USA)",27 MAR 2010,1128,2010,women_200m
74,8561,23.06,1.7,Jeneba TARMOH,27 SEP 1989,USA,2f1,"Austin, TX (USA)",01 MAY 2010,1128,2010,women_200m
75,8561,23.06,-0.2,Ebonie FLOYD,21 OCT 1983,USA,2,Ponce (PUR),08 MAY 2010,1129,2010,women_200m
76,8561,23.06,1.8,Lina JACQUES-SÉBASTIEN,10 APR 1985,FRA,2f1,"Fana Stadion, Bergen (NOR)",20 JUN 2010,1128,2010,women_200m
77,8561,23.06,0.0,Yelizaveta BRYZGINA,28 NOV 1989,UKR,2f2,"Meteor, Zhukovskiy (RUS)",26 JUN 2010,1128,2010,women_200m
78,8561,23.06,1.6,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1f1,"Fort Worth, TX (USA)",18 MAR 2011,1128,2011,women_200m
79,8561,23.06,1.2,Anthonique STRACHAN,22 AUG 1993,BAH,1,Nassau (BAH),09 APR 2011,1128,2011,women_200m
80,8561,23.06,2.0,Porscha LUCAS,18 JUN 1988,USA,2,"Lawrence, KS (USA)",23 APR 2011,1128,2011,women_200m
81,8561,23.06,1.0,Norma GONZÁLEZ,11 AUG 1982,COL,1,Bogotá (COL),07 MAY 2011,1128,2011,women_200m
82,8561,23.06,-0.6,Aurieyall SCOTT,18 MAY 1992,USA,1,"Houston, TX (USA)",15 MAY 2011,1131,2011,women_200m
83,8561,23.06,-1.0,Olesya POVH,18 OCT 1987,UKR,1h3,Yalta (UKR),31 MAY 2011,1134,2011,women_200m
84,8561,23.06,0.0,Jessica DAVIS,31 OCT 1992,USA,2h3,"Des Moines, IA (USA)",09 JUN 2011,1128,2011,women_200m
85,8561,23.06,0.2,Anneisha MCLAUGHLIN-WHILBY,06 JAN 1986,JAM,4h1,Kingston (JAM),25 JUN 2011,1128,2011,women_200m
86,8561,23.06,1.1,Rachelle BOONE-SMITH,30 JUN 1981,USA,4sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2011,1128,2011,women_200m
87,8561,23.06,1.4,Ndeye SOUMAH FATOU,06 APR 1986,SEN,1f2,Donnas (ITA),03 JUL 2011,1128,2011,women_200m
88,8561,23.06,1.0,Anyika ONUORA,28 OCT 1984,GBR,7,"Alexander Stadium, Birmingham (GBR)",10 JUL 2011,1128,2011,women_200m
89,8561,23.06,0.2,Lina JACQUES-SÉBASTIEN,10 APR 1985,FRA,1f1,Paris (FRA),10 JUL 2011,1128,2011,women_200m
90,8561,23.06,0.0,Yuliya CHERMOSHANSKAYA,06 JAN 1986,RUS,1sf3,Cheboksary (RUS),23 JUL 2011,1128,2011,women_200m
91,8561,23.06,,Anthonique STRACHAN,22 AUG 1993,BAH,1h1,"Miramar, FL (USA)",23 JUL 2011,1128,2011,women_200m
92,8561,23.06,-0.7,Nivea SMITH,18 FEB 1990,BAH,6sf1,"DS, Daegu (KOR)",01 SEP 2011,1132,2011,women_200m
93,8561,23.06,1.9,Vida ANIM,07 DEC 1983,GHA,2,Maputo (MOZ),15 SEP 2011,1128,2011,women_200m
94,8561,23.06,0.5,Tameka WILLIAMS,31 AUG 1989,SKN,4,Guadalajara (MEX),27 OCT 2011,1128,2011,women_200m
95,8561,23.06,-1.8,Sally PEARSON,19 SEP 1986,AUS,1,Sydney (AUS),18 FEB 2012,1138,2012,women_200m
96,8561,23.06,-0.3,Marlena WESH,16 FEB 1991,HAI,2,"Charlottesville, VA (USA)",21 APR 2012,1129,2012,women_200m
97,8561,23.06,1.0,Tiffany TOWNSEND,14 JUN 1989,USA,3h3,"Hayward Field, Eugene, OR (USA)",28 JUN 2012,1128,2012,women_200m
98,8561,23.06,0.1,Mariya RYEMYEN,02 AUG 1987,UKR,6,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1128,2012,women_200m
99,8561,23.06,0.8,Patricia HALL,16 OCT 1982,JAM,1f1,"San Marcos, TX (USA)",27 APR 2013,1128,2013,women_200m
0,8561,23.06,1.7,Cierra WHITE,29 APR 1993,USA,1h2,"Waco, TX (USA)",04 MAY 2013,1128,2013,women_200m
1,8561,23.06,-0.2,Aurieyall SCOTT,18 MAY 1992,USA,1,"Houston, TX (USA)",12 MAY 2013,1129,2013,women_200m
2,8561,23.06,-0.5,Ana Claudia LEMOS,06 NOV 1988,BRA,7,"Stade Louis II, Monaco (MON)",19 JUL 2013,1131,2013,women_200m
3,8561,23.06,-0.5,Jodie WILLIAMS,28 SEP 1993,GBR,6,"Olympic Stadium, London (GBR)",27 JUL 2013,1131,2013,women_200m
4,8561,23.06,1.8,Amantle MONTSHO,04 JUL 1983,BOT,1f1,Fukuroi (JPN),03 MAY 2014,1128,2014,women_200m
5,8561,23.06,-0.3,Amantle MONTSHO,04 JUL 1983,BOT,1h1,Fukuroi (JPN),03 MAY 2014,1129,2014,women_200m
6,8561,23.06,2.0,Ashley SPENCER,08 JUN 1993,USA,1h1,"Lubbock, TX (USA)",17 MAY 2014,1128,2014,women_200m
7,8561,23.06,1.2,Katie WISE,15 OCT 1993,USA,1,"Carbondale, IL (USA)",18 MAY 2014,1128,2014,women_200m
8,8561,23.06,0.8,Mahagony JONES,20 DEC 1990,USA,1h2,"Jacksonville, FL (USA)",30 MAY 2014,1128,2014,women_200m
9,8561,23.06,1.5,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,8,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1128,2014,women_200m
10,8561,23.06,0.4,Olga SAFRONOVA,05 NOV 1991,KAZ,1h1,Bishkek (KGZ),08 JUN 2014,1128,2014,women_200m
11,8561,23.06,-0.5,Natasha HASTINGS,23 JUL 1986,USA,2,"Icahn Stadium, New York, NY (USA)",14 JUN 2014,1131,2014,women_200m
12,8561,23.06,0.0,Jennifer GALAIS,07 MAR 1992,FRA,1,Aubagne (FRA),15 JUN 2014,1128,2014,women_200m
13,8561,23.06,1.8,Tawanna MEADOWS,04 AUG 1986,USA,3h3,"Sacramento, CA (USA)",29 JUN 2014,1128,2014,women_200m
14,8561,23.06,1.6,Yelena BOLSUN,25 JUN 1982,RUS,4,Yerino (RUS),10 JUL 2014,1128,2014,women_200m
15,8561,23.06,-0.9,Muna LEE,30 OCT 1981,USA,1f1,Lapinlahti (FIN),20 JUL 2014,1133,2014,women_200m
16,8561,23.06,1.8,Rebekka HAASE,02 JAN 1993,GER,1h1,Ulm (GER),27 JUL 2014,1128,2014,women_200m
17,8561,23.06,1.3,J'Nea BELLAMY,1994,USA,1,"Storrs, CT (USA)",16 MAY 2015,1128,2015,women_200m
18,8561,23.06,0.2,Kaylin WHITNEY,09 MAR 1998,USA,2,"National Stadium, Beijing (CHN)",20 MAY 2015,1128,2015,women_200m
19,8561,23.06,2.0,Phyllis FRANCIS,04 MAY 1992,USA,1f1,Kortrijk (BEL),11 JUL 2015,1128,2015,women_200m
20,8561,23.06,0.9,Jada MARTIN,08 JUN 1995,USA,2f1,"Baton Rouge, LA (USA)",09 APR 2016,1128,2016,women_200m
21,8561,23.06,1.8,Lisa MAYER,02 MAY 1996,GER,2f3,"Clermont, FL (USA)",30 APR 2016,1128,2016,women_200m
22,8561,23.06,0.0,Floria GUEI,02 MAY 1990,FRA,1f1,Grenoble (FRA),08 MAY 2016,1128,2016,women_200m
23,8561,23.06,-0.4,LaTessa JOHNSON,13 APR 1997,USA,2,"Orlando, FL (USA)",15 MAY 2016,1130,2016,women_200m
24,8561,23.06,0.2,Tiffany TOWNSEND,14 JUN 1989,USA,3,"National Stadium, Beijing (CHN)",18 MAY 2016,1128,2016,women_200m
25,8561,23.06,-0.3,Jodie WILLIAMS,28 SEP 1993,GBR,2,"FBK Stadium, Hengelo (NED)",22 MAY 2016,1129,2016,women_200m
26,8561,23.06,-0.3,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,2h2,Kingston (JAM),02 JUL 2016,1129,2016,women_200m
27,8561,23.06,0.0,Lisa MAYER,02 MAY 1996,GER,3sf2,"Olympisch Stadion, Amsterdam (NED)",06 JUL 2016,1128,2016,women_200m
28,8561,23.06,-0.9,Shalonda SOLOMON,19 DEC 1985,USA,5sf2,"Hayward Field, Eugene, OR (USA)",09 JUL 2016,1133,2016,women_200m
29,8561,23.06,0.0,Taylor WASHINGTON,06 MAY 1993,USA,4,Edmonton (CAN),15 JUL 2016,1128,2016,women_200m
30,8561,23.06,1.9,Edidiong Ofinome ODIONG,13 MAR 1997,BRN,1h2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",22 JUL 2016,1128,2016,women_200m
31,8561,23.06,0.6,Kauiza MOREIRA VENANCIO,11 JUN 1987,BRA,3h3,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016,1128,2016,women_200m
32,8561,23.06,0.4,Shauna HELPS,23 OCT 1996,JAM,3,"Gainesville, FL (USA)",31 MAR 2017,1128,2017,women_200m
33,8561,23.06,2.0,Tramesha HARDY,24 MAR 1996,USA,1,"Arlington, TX (USA)",14 MAY 2017,1128,2017,women_200m
34,8561,23.06,1.7,Shimayra WILLIAMS,02 DEC 1995,JAM,3f1,Kortrijk (BEL),08 JUL 2017,1128,2017,women_200m
35,8561,23.06,-0.2,Kimberlyn DUNCAN,02 AUG 1991,USA,4,"Stade Louis II, Monaco (MON)",21 JUL 2017,1129,2017,women_200m
36,8561,23.06,-1.7,Maddie COATES,27 SEP 1997,AUS,2,Gold Coast (AUS),18 FEB 2018,1138,2018,women_200m
37,8561,23.06,0.3,Justine PALFRAMAN,04 NOV 1993,RSA,1sf1,Pretoria (RSA),16 MAR 2018,1128,2018,women_200m
38,8561,23.06,1.5,Tamari DAVIS,15 FEB 2003,USA,1,"Jacksonville, FL (USA)",17 MAR 2018,1128,2018,women_200m
39,8561,23.06,0.9,Bianca WILLIAMS,18 DEC 1993,GBR,6,Gold Coast (AUS),12 APR 2018,1128,2018,women_200m
40,8561,23.06,1.9,Mikiah BRISCO,14 JUL 1996,USA,1h3,"Knoxville, TN (USA)",11 MAY 2018,1128,2018,women_200m
41,8561,23.06,0.2,Irene SIRAGUSA,23 JUN 1993,ITA,1f1,Firenze (ITA),27 MAY 2018,1128,2018,women_200m
42,8561,23.06,-0.8,Joanna ATKINS,31 JAN 1989,USA,3h2,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1132,2018,women_200m
43,8561,23.06,-0.3,Laura MÜLLER,11 DEC 1995,GER,1h1,"Olympiastadion, Berlin (GER)",10 AUG 2018,1129,2018,women_200m
44,8561,23.06,1.1,Vitoria Cristina ROSA,12 JAN 1996,BRA,1,Bragança Paulista (BRA),16 SEP 2018,1128,2018,women_200m
45,8561,23.06,0.2,Tamari DAVIS,15 FEB 2003,USA,1f1,"Jacksonville, FL (USA)",23 MAR 2019,1128,2019,women_200m
46,8561,23.06,0.4,Kynnedy FLANNEL,12 JUL 2000,USA,1h1,"Norman, OK (USA)",11 MAY 2019,1128,2019,women_200m
47,8561,23.06,1.3,Chelsea FRANCIS,DEC 1997,USA,1,"Wichita, KS (USA)",12 MAY 2019,1128,2019,women_200m
48,8561,23.06,1.2,Kynnedy FLANNEL,12 JUL 2000,USA,1h5,"Sacramento, CA (USA)",24 MAY 2019,1128,2019,women_200m
49,8561,23.06,1.0,Jayda ECKFORD,07 AUG 2000,USA,4qf1,"Jacksonville, FL (USA)",25 MAY 2019,1128,2019,women_200m
50,8561,23.06,-1.4,Beth DOBBIN,07 JUN 1994,GBR,2,Marseille (FRA),02 JUL 2019,1136,2019,women_200m
51,8561,23.06,0.9,Jasmine BLOCKER,09 JUN 1992,USA,2,"Azusa, CA (USA)",09 JUL 2019,1128,2019,women_200m
52,8561,23.06,1.4,Lorraine MARTINS,04 APR 2000,BRA,3,San José (CRC),20 JUL 2019,1128,2019,women_200m
53,8561,23.06,-1.2,Lynna IRBY,06 DEC 1998,USA,6,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1135,2019,women_200m
54,8561,23.06,-1.8,Ashley HENDERSON,04 DEC 1995,USA,5sf1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1138,2019,women_200m
55,8561,23.06,0.0,Crystal EMMANUEL,27 NOV 1991,CAN,1h2,Lima (PER),08 AUG 2019,1128,2019,women_200m
56,8561,23.06,0.4,TyNia GAITHER,16 MAR 1993,BAH,2h3,Lima (PER),08 AUG 2019,1128,2019,women_200m
57,8561,23.06,-2.5,Maja MIHALINEC,17 DEC 1989,SLO,1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2019,1143,2019,women_200m
58,8561,23.06,-4.3,Jodie WILLIAMS,28 SEP 1993,GBR,1,"Alexander Stadium, Birmingham (GBR)",25 AUG 2019,1153,2019,women_200m
59,8561,23.06,-1.1,Lynna IRBY,06 DEC 1998,USA,2f1,"Montverde Academy, Montverde, FL (USA)",04 JUL 2020,1134,2020,women_200m
60,8561,23.06,0.0,Vitoria Cristina ROSA,12 JAN 1996,BRA,2,"COTP Stadium, São Paulo (BRA)",13 DEC 2020,1128,2020,women_200m
61,8561,23.06,1.8,Ángela Gabriela TENORIO,27 JAN 1996,ECU,2f1,"Tropical Park Track, Miami, FL (USA)",20 MAR 2021,1128,2021,women_200m
62,8561,23.06,1.9,Amarachukwu Jecinta OBI,19 FEB 1994,NGR,1f1,"Cardinal Park, Louisville, KY (USA)",23 APR 2021,1128,2021,women_200m
63,8561,23.06,1.8,Stacey Ann WILLIAMS,08 MAR 1999,JAM,1f3,"Mike A. Myers Stadium, Austin, TX (USA)",30 APR 2021,1128,2021,women_200m
64,8561,23.06,0.8,Beth DOBBIN,07 JUN 1994,GBR,2,"Centro Sportivo Fontanassa, Savona (ITA)",13 MAY 2021,1128,2021,women_200m
65,8561,23.06,0.7,Shimayra WILLIAMS,02 DEC 1995,JAM,2,"National Stadium, Kingston (JAM)",22 MAY 2021,1128,2021,women_200m
66,8561,23.06,1.2,Lanae-Tava THOMAS,28 JAN 2001,USA,4h1,"Cushing Stadium, College Station, TX (USA)",29 MAY 2021,1128,2021,women_200m
67,8561,23.06,1.2,Anglerne ANNELUS,10 JAN 1997,USA,2h2,"Cushing Stadium, College Station, TX (USA)",29 MAY 2021,1128,2021,women_200m
68,8561,23.06,0.2,Daryll NEITA,29 AUG 1996,GBR,6,"International Stadium, Gateshead (GBR)",13 JUL 2021,1128,2021,women_200m
69,8561,23.06,1.2,Symone DARIUS,04 JUL 1998,USA,2f1,"Marcus T. Johnson Track, Greensboro, NC (USA)",22 APR 2022,1128,2022,women_200m
70,8561,23.06,1.3,Natasha MORRISON,17 NOV 1992,JAM,3,"National Stadium, Kingston (JAM)",23 APR 2022,1128,2022,women_200m
71,8561,23.06,1.3,Beth DOBBIN,07 JUN 1994,GBR,6,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022,1128,2022,women_200m
72,8561,23.06,-0.4,Tiriah KELLEY,2004,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",14 MAY 2022,1130,2022,women_200m
73,8561,23.06,-0.1,Laila OWENS,2002,USA,2pr2,"John McDonnell Field, Fayetteville, AR (USA)",26 MAY 2022,1128,2022,women_200m
74,8561,23.06,1.0,Adriana TATUM,,USA,2pr6,"John McDonnell Field, Fayetteville, AR (USA)",26 MAY 2022,1128,2022,women_200m
75,8561,23.06,1.3,Jada SEAMAN,18 JUL 2001,USA,4pr3,"Billy Hayes T& F Complex, Bloomington, IN (USA)",26 MAY 2022,1128,2022,women_200m
76,8561,23.06,0.1,Symone DARIUS,04 JUL 1998,USA,6h2,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1128,2022,women_200m
77,8561,23.06,0.1,TyNia GAITHER,16 MAR 1993,BAH,4,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1128,2022,women_200m
78,8561,23.06,0.0,Mia BRAHE-PEDERSEN,28 NOV 2005,USA,4,"Pascual Guerrero Stadium, Cali (COL)",05 AUG 2022,1128,2022,women_200m
79,8561,23.06,0.6,Natalliah WHYTE,09 AUG 1997,JAM,4,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1128,2022,women_200m
80,8561,23.06,0.0,Dalia KADDARI,23 MAR 2001,ITA,4sf2,"Olympiastadion, München (GER)",18 AUG 2022,1128,2022,women_200m
81,8561,23.06,0.4,Shana GREBO,09 NOV 2000,FRA,6,"Olympiastadion, München (GER)",19 AUG 2022,1128,2022,women_200m
82,8561,23.06,0.6,Archana SUSEENTRAN,09 JUN 1994,IND,1,Gujarat (IND),04 OCT 2022,1128,2022,women_200m
83,8561,23.06,-0.3,Gabriela Anahi SUAREZ,02 FEB 2001,ECU,1,Asunción (PAR),14 OCT 2022,1129,2022,women_200m
84,8561,23.06,0.2,Gabriela Anahi SUAREZ,02 FEB 2001,ECU,1h2,Asunción (PAR),14 OCT 2022,1128,2022,women_200m
85,8561,23.06,0.1,Torrie LEWIS,08 JAN 2005,AUS,1f1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",21 JAN 2023,1128,2023,women_200m
86,8561,23.06,1.1,Marileidy PAULINO,25 OCT 1996,DOM,1h2,"La Vicentina, Quito (ECU)",05 MAR 2023,1128,2023,women_200m
87,8561,23.06,0.4,Sada WILLIAMS,01 DEC 1997,BAR,1f1,"GC Foster College, Spanish Town (JAM)",11 MAR 2023,1128,2023,women_200m
88,8561,23.06,1.5,Symone MASON,31 AUG 1999,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",08 APR 2023,1128,2023,women_200m
89,8561,23.06,-0.5,Orangy JIMÉNEZ,15 SEP 2001,VEN,2f2,"Estadio de la Universidad Militar Bolivariana, Caracas (VEN)",28 APR 2023,1131,2023,women_200m
90,8561,23.06,1.1,Paméra LOSANGE,28 AUG 2002,FRA,1f1,"Stade Nelson Mandela, Sarcelles (FRA)",14 JUN 2023,1128,2023,women_200m
91,8792,23.07,,Doris MALETZKI-ROMANOWSKY,11 JUN 1952,GDR,3,Halle (GER),16 MAY 1976,1127,1976,women_200m
92,8792,23.07,,Marita KOCH,18 FEB 1957,GDR,2,Berlin (GER),16 JUN 1977,1127,1977,women_200m
93,8792,23.07,,Irena SZEWIŃSKA,24 MAY 1946,POL,1,Bruxelles (BEL),18 AUG 1978,1127,1978,women_200m
94,8792,23.07,-0.2,Linda HAGLUND,15 JUN 1956,SWE,7,"Stadion Evžena Rošického, Praha (TCH)",01 SEP 1978,1128,1978,women_200m
95,8792,23.07,,Irena SZEWIŃSKA,24 MAY 1946,POL,2,Bremen (GER),24 JUN 1979,1127,1979,women_200m
96,8792,23.07,,Irena SZEWIŃSKA,24 MAY 1946,POL,1,Lausanne (SUI),18 JUL 1979,1127,1979,women_200m
97,8792,23.07,1.0,Lilyana IVANOVA,17 MAR 1956,BUL,6sf2,"Lenin Stadium, Moskva (URS)",30 JUL 1980,1127,1980,women_200m
98,8792,23.07,,Lyudmila MASLAKOVA,26 JUL 1952,URS,4,Lausanne (SUI),15 AUG 1980,1127,1980,women_200m
99,8792,23.07,-0.6,Bev CALLENDER,28 AUG 1956,GBR,2,London (GBR),31 JUL 1982,1130,1982,women_200m
0,8792,23.07,-1.8,Denise BOYD,15 DEC 1952,AUS,1,Brisbane (AUS),01 OCT 1982,1137,1982,women_200m
1,8792,23.07,,Simone SCHUMANN,19 SEP 1965,GDR,1,Jena (GDR),03 JUL 1983,1127,1983,women_200m
2,8792,23.07,1.1,Bev CALLENDER,28 AUG 1956,GBR,1f2,Zürich (SUI),24 AUG 1983,1127,1983,women_200m
3,8792,23.07,-0.5,Pepa PAVLOVA,1961,BUL,2,Sofia (BUL),20 MAY 1984,1130,1984,women_200m
4,8792,23.07,-0.5,Atanaska GEORGIEVA,18 OCT 1960,BUL,3,Sofia (BUL),20 MAY 1984,1130,1984,women_200m
5,8792,23.07,-1.2,Jolanta JANOTA,06 JUL 1964,POL,2,Grudziadz (POL),28 JUN 1986,1134,1986,women_200m
6,8792,23.07,1.4,Gervaise MCCRAW,10 DEC 1964,USA,2,"Westwood, CA (USA)",02 MAY 1987,1127,1987,women_200m
7,8792,23.07,0.2,Silke-Beate KNOLL,21 FEB 1967,FRG,1,Fürth (GER),14 JUN 1987,1127,1987,women_200m
8,8792,23.07,1.7,Kerry JOHNSON,23 OCT 1963,AUS,1,Sydney (AUS),21 FEB 1988,1127,1988,women_200m
9,8792,23.07,-0.8,Falilat OGUNKOYA-OSHEKU,05 DEC 1968,NGR,6,Nice (FRA),10 JUL 1988,1131,1988,women_200m
10,8792,23.07,1.5,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,La Habana (CUB),06 AUG 1988,1127,1988,women_200m
11,8792,23.07,,Silke MÖLLER,20 JUN 1964,GDR,2h3,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1127,1988,women_200m
12,8792,23.07,0.4,Michelle BURRELL-FINN,08 MAY 1965,USA,3,Linz (AUT),14 AUG 1989,1127,1989,women_200m
13,8792,23.07,-0.5,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,4,Budapest (HUN),05 AUG 1990,1130,1990,women_200m
14,8792,23.07,-0.6,Esther JONES,07 APR 1969,USA,3f2,Zürich (SUI),19 AUG 1992,1130,1992,women_200m
15,8792,23.07,-0.3,Marie-José PÉREC,09 MAY 1968,FRA,1,"Estadio Panamericano, La Habana (CUB)",25 SEP 1992,1128,1992,women_200m
16,8792,23.07,1.1,Silke-Beate KNOLL,21 FEB 1967,GER,5,Villeneuve d'Ascq (FRA),02 JUL 1993,1127,1993,women_200m
17,8792,23.07,-0.9,Petya PENDAREVA,20 JAN 1971,BUL,4qf4,"Gottlieb-Daimler Stadion, Stuttgart (GER)",17 AUG 1993,1132,1993,women_200m
18,8792,23.07,0.2,Silke-Beate KNOLL,21 FEB 1967,GER,7sf2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,1127,1993,women_200m
